"Tab","Button","Section","Source","CurrentPlacementWhy","AlternateTab","AlternatePlacementJustification","PlacementAssessment","Description"
"Choco","Add to Toolbox","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Add to Toolbox."
"Choco","Install Chocolatey","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Install Chocolatey."
"Choco","Install Selected","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Install Selected."
"Choco","Refresh Computer List","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Refresh Computer List."
"Choco","Refresh Status","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Refresh Status."
"Choco","Scan Installed","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Scan Installed."
"Choco","Search Packages","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Search Packages."
"Choco","Uninstall From Computer","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Uninstall From Computer."
"Choco","Upgrade All","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Upgrade All."
"Choco","Upgrade Selected","Chocolatey Management","GUI Hard-coded","This tab is for Chocolatey package discovery, install, update, uninstall, and toolbox import workflows.","Software","Chocolatey installs software, so Software is the broad alternate.","Current placement appears reasonable.","Chocolatey package workflow action: Upgrade Selected."
